row,id,corp_no,factory_cd,machine,jig_no,voltage,e_current,gas,wire,prod_qty,hit_point,terms,error1,error2,error3,weldtime,tip_change,start_point,mes_trans_ok,mes_trans_time,bigo,starttime,workings_cd,item_no,input_lot,lot_no
51,353166478,100,200,co2#1,1,17.5,252.7,14.5,0,0,1,1,,,-,0,0,0,N,,,13:47.4,,,,
52,353166482,100,200,co2#1,1,17.5,242.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:47.9,,,,
53,353166489,100,200,co2#1,1,17.5,246.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:48.4,,,,
54,353166492,100,200,co2#1,1,17.7,282.9,14.5,0,0,1,1,,,-,0,0,0,N,,,13:48.9,,,,
55,353166496,100,200,co2#1,1,17.9,253.1,14.5,0,0,1,1,,,-,0,0,0,N,,,13:49.5,,,,
56,353166497,100,200,co2#1,1,17.7,249.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:49.5,,,,
57,353166500,100,200,co2#1,1,17.3,248.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:50.0,,,,
58,353166503,100,200,co2#1,1,17.3,248.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:50.5,,,,
59,353166507,100,200,co2#1,1,17.3,248.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:51.0,,,,
60,353166509,100,200,co2#1,1,17.4,255.6,14.5,0,0,1,1,,,-,0,0,0,N,,,13:51.5,,,,
61,353166513,100,200,co2#1,1,17,250.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:52.1,,,,
62,353166516,100,200,co2#1,1,16.9,246.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:52.6,,,,
63,353166519,100,200,co2#1,1,17,252.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:53.1,,,,
64,353166520,100,200,co2#1,1,17,256,14.5,0,0,1,1,,,-,0,0,0,N,,,13:53.1,,,,
65,353166525,100,200,co2#1,1,17,250.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:53.6,,,,
66,353166528,100,200,co2#1,1,16.9,250.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:54.1,,,,
67,353166530,100,200,co2#1,1,16.9,250.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:54.7,,,,
68,353166535,100,200,co2#1,1,16.8,250.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:55.2,,,,
69,353166538,100,200,co2#1,1,16.6,253.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:55.7,,,,
70,353166539,100,200,co2#1,1,16.8,248.7,14.5,0,0,1,1,,,-,0,0,0,N,,,13:55.7,,,,
71,353166540,100,200,co2#1,1,17,290.9,14.5,0,0,1,1,,,-,0,0,0,N,,,13:56.2,,,,
72,353166565,100,200,co2#1,1,41.4,183.6,14.7,0,0,1,1,,,-,0,0,0,N,,,14:00.8,,,,
73,353166572,100,200,co2#1,1,41.4,183.6,14.7,0,0,1,1,,,-,0,0,0,N,,,14:01.3,,,,
74,353166597,100,200,co2#1,1,44.6,184,14.6,0,0,1,1,,,-,0,0,0,N,,,14:02.9,,,,
75,353166605,100,200,co2#1,1,44.6,184,14.6,0,0,1,1,,,-,0,0,0,N,,,14:03.4,,,,
76,353166616,100,200,co2#1,1,44.6,184,14.6,0,0,1,1,,,-,0,0,0,N,,,14:03.9,,,,
77,353166617,100,200,co2#1,1,44.6,184,14.6,0,0,1,1,,,-,0,0,0,N,,,14:03.9,,,,
78,353166634,100,200,co2#1,1,33.3,218.2,14.5,0,0,1,1,,,-,0,0,0,N,,,14:04.9,,,,
79,353166641,100,200,co2#1,1,17.9,213.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:05.5,,,,
80,353166650,100,200,co2#1,1,17.9,213.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:06.0,,,,
81,353166651,100,200,co2#1,1,18.1,201.8,14.5,0,0,1,1,,,-,0,0,0,N,,,14:06.0,,,,
82,353166658,100,200,co2#1,1,18.3,218.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:06.5,,,,
83,353166671,100,200,co2#1,1,18.3,210.2,14.4,0,0,1,1,,,-,0,0,0,N,,,14:07.0,,,,
84,353166679,100,200,co2#1,1,18.2,193.4,14.4,0,0,1,1,,,-,0,0,0,N,,,14:07.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
86,353166706,100,200,co2#1,1,30.1,205.4,14.7,0,0,1,1,,,-,0,0,0,N,,,14:09.6,,,,
87,353166712,100,200,co2#1,1,30.1,205.4,14.7,0,0,1,1,,,-,0,0,0,N,,,14:10.1,,,,
88,353166718,100,200,co2#1,1,30.1,205.4,14.7,0,0,1,1,,,-,0,0,0,N,,,14:10.6,,,,
89,353166720,100,200,co2#1,1,30.1,205.4,14.7,0,0,1,1,,,-,0,0,0,N,,,14:10.6,,,,
90,353166727,100,200,co2#1,1,17.4,247.6,14.5,0,0,1,1,,,-,0,0,0,N,,,14:11.2,,,,
91,353166736,100,200,co2#1,1,18.7,238.9,14.4,0,0,1,1,,,-,0,0,0,N,,,14:11.7,,,,
92,353166743,100,200,co2#1,1,18.5,248.4,14.4,0,0,1,1,,,-,0,0,0,N,,,14:12.2,,,,
93,353166751,100,200,co2#1,1,18.5,246.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:12.7,,,,
94,353166752,100,200,co2#1,1,17.7,256.7,14.4,0,0,1,1,,,-,0,0,0,N,,,14:12.7,,,,
95,353166763,100,200,co2#1,1,17.5,248.7,14.4,0,0,1,1,,,-,0,0,0,N,,,14:13.2,,,,
96,353166775,100,200,co2#1,1,18.8,268.7,14.4,0,0,1,1,,,-,0,0,0,N,,,14:13.8,,,,
97,353166781,100,200,co2#1,1,18.3,249.8,14.3,0,0,1,1,,,-,0,0,0,N,,,14:14.3,,,,
98,353166790,100,200,co2#1,1,18.7,245.8,14.3,0,0,1,1,,,-,0,0,0,N,,,14:14.8,,,,
99,353166791,100,200,co2#1,1,18.5,247.6,14.3,0,0,1,1,,,-,0,0,0,N,,,14:14.8,,,,
100,353166799,100,200,co2#1,1,18.5,252,14.4,0,0,1,1,,,-,0,0,0,N,,,14:15.3,,,,
101,353166823,100,200,co2#1,1,18.2,270.2,14.3,0,0,1,1,,,-,0,0,0,N,,,14:16.9,,,,
102,353166824,100,200,co2#1,1,18.2,270.2,14.3,0,0,1,1,,,-,0,0,0,N,,,14:16.9,,,,
103,353166832,100,200,co2#1,1,18.2,270.2,14.3,0,0,1,1,,,-,0,0,0,N,,,14:17.4,,,,
104,353166842,100,200,co2#1,1,18.4,261.1,14.3,0,0,1,1,,,-,0,0,0,N,,,14:17.9,,,,
105,353166851,100,200,co2#1,1,18,254.9,14.4,0,0,1,1,,,-,0,0,0,N,,,14:18.4,,,,
106,353166858,100,200,co2#1,1,18.1,254.9,14.4,0,0,1,1,,,-,0,0,0,N,,,14:18.9,,,,
107,353166859,100,200,co2#1,1,18.2,250.9,14.4,0,0,1,1,,,-,0,0,0,N,,,14:18.9,,,,
108,353166867,100,200,co2#1,1,18.3,255.6,14.4,0,0,1,1,,,-,0,0,0,N,,,14:19.5,,,,
109,353166882,100,200,co2#1,1,18,264.4,14.3,0,0,1,1,,,-,0,0,0,N,,,14:20.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
111,353166928,100,200,co2#1,1,23.8,164.4,14.2,0,0,1,1,,,-,0,0,0,N,,,14:25.1,,,,
112,353166929,100,200,co2#1,1,23.8,164.4,14.2,0,0,1,1,,,-,0,0,0,N,,,14:25.2,,,,
113,353166940,100,200,co2#1,1,23.8,164.4,14.2,0,0,1,1,,,-,0,0,0,N,,,14:25.7,,,,
114,353166957,100,200,co2#1,1,51.2,140.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:26.7,,,,
115,353166968,100,200,co2#1,1,24.9,141.8,14.5,0,0,1,1,,,-,0,0,0,N,,,14:27.2,,,,
116,353166975,100,200,co2#1,1,24.9,141.8,14.5,0,0,1,1,,,-,0,0,0,N,,,14:27.7,,,,
117,353167008,100,200,co2#1,1,35.1,192,14.6,0,0,1,1,,,-,0,0,0,N,,,14:29.3,,,,
118,353167018,100,200,co2#1,1,35.1,192,14.6,0,0,1,1,,,-,0,0,0,N,,,14:29.8,,,,
119,353167019,100,200,co2#1,1,35.1,192,14.6,0,0,1,1,,,-,0,0,0,N,,,14:29.8,,,,
120,353167027,100,200,co2#1,1,35.1,192,14.6,0,0,1,1,,,-,0,0,0,N,,,14:30.3,,,,
121,353167038,100,200,co2#1,1,35.1,192,14.6,0,0,1,1,,,-,0,0,0,N,,,14:30.8,,,,
122,353167052,100,200,co2#1,1,17.3,212.4,14.4,0,0,1,1,,,-,0,0,0,N,,,14:31.3,,,,
123,353167053,100,200,co2#1,1,17.6,209.4,14.4,0,0,1,1,,,-,0,0,0,N,,,14:31.4,,,,
124,353167064,100,200,co2#1,1,17.8,99.6,14.4,0,0,1,1,,,-,0,0,0,N,,,14:31.9,,,,
125,353167110,100,200,co2#1,1,42.3,196.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:33.9,,,,
126,353167111,100,200,co2#1,1,42.3,196.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:34.0,,,,
127,353167123,100,200,co2#1,1,42.3,196.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:34.5,,,,
128,353167132,100,200,co2#1,1,17.1,247.6,14.5,0,0,1,1,,,-,0,0,0,N,,,14:35.0,,,,
129,353167145,100,200,co2#1,1,17.4,245.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:35.5,,,,
130,353167146,100,200,co2#1,1,17.6,246.2,14.4,0,0,1,1,,,-,0,0,0,N,,,14:35.5,,,,
131,353167155,100,200,co2#1,1,18.1,249.4,14.4,0,0,1,1,,,-,0,0,0,N,,,14:36.0,,,,
132,353167162,100,200,co2#1,1,18,245.1,14.4,0,0,1,1,,,-,0,0,0,N,,,14:36.5,,,,
133,353167169,100,200,co2#1,1,18,245.1,14.4,0,0,1,1,,,-,0,0,0,N,,,14:37.1,,,,
134,353167178,100,200,co2#1,1,18,245.1,14.4,0,0,1,1,,,-,0,0,0,N,,,14:37.6,,,,
